Year,rank,player,team_ID,points_won,first_place_votes,share,WAR,G,AB,R,H,HR,RBI,SB,BB,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging
2005,1,Albert Pujols (2005),STL,378,18,84%,8.4,161,591,129,195,41,117,16,97,0.330,0.430,0.609,1.039
2005,2,Andruw Jones (2005),ATL,351,13,78%,6.7,160,586,95,154,51,128,5,64,0.263,0.347,0.575,0.922
2005,3,Derrek Lee (2005),CHC,263,1,59%,7.7,158,594,120,199,46,107,15,85,0.335,0.418,0.662,1.08
2005,4,Morgan Ensberg (2005),HOU,160,0,36%,6.3,150,526,86,149,36,101,6,85,0.283,0.388,0.557,0.945
2005,5,Miguel Cabrera (2005),FLA,146,0,33%,5.2,158,613,106,198,33,116,1,64,0.323,0.385,0.561,0.947
2005,6,Carlos Delgado (2005),FLA,84,0,19%,2.8,144,521,81,157,33,115,0,72,0.301,0.399,0.582,0.981
2005,7,Pat Burrell (2005),PHI,65,0,15%,3.6,154,562,78,158,32,117,0,99,0.281,0.389,0.504,0.892
2005,9,Brian Giles (2005),SDP,48,0,11%,4.9,158,545,92,164,15,83,13,119,0.301,0.423,0.483,0.905
2005,10,Jimmy Rollins (2005),PHI,45,0,10%,4.9,158,677,115,196,12,54,41,47,0.290,0.338,0.431,0.77
2005,12,Jason Bay (2005),PIT,41,0,9%,5.7,162,599,110,183,32,101,21,95,0.306,0.402,0.559,0.961
2005,13,Chase Utley (2005),PHI,22,0,5%,7.3,147,543,93,158,28,105,16,69,0.291,0.376,0.54,0.915
2005,14,Bobby Abreu (2005),PHI,21,0,5%,3.6,162,588,104,168,24,102,31,117,0.286,0.405,0.474,0.879
2005,14,Lance Berkman (2005),HOU,21,0,5%,3.2,132,468,76,137,24,82,4,91,0.293,0.411,0.524,0.934
2005,17,Carlos Lee (2005),MIL,19,0,4%,1,162,618,85,164,32,114,13,57,0.265,0.324,0.487,0.811
2005,19,Jeff Kent (2005),LAD,18,0,4%,3.8,149,553,100,160,29,105,6,72,0.289,0.377,0.512,0.889
2005,19,David Wright (2005),NYM,18,0,4%,4.8,160,575,99,176,27,102,17,72,0.306,0.388,0.523,0.912
2005,21,David Eckstein (2005),STL,15,0,3%,2.9,158,630,90,185,8,61,11,58,0.294,0.363,0.395,0.758
2005,24,Ken Griffey Jr. (2005),CIN,5,0,1%,3.7,128,491,85,148,35,92,0,54,0.301,0.369,0.576,0.946
2005,26,Adam Dunn (2005),CIN,4,0,1%,2.9,160,543,107,134,40,101,4,114,0.247,0.387,0.540,0.927
2005,26,Jim Edmonds (2005),STL,4,0,1%,4.4,142,467,88,123,29,89,5,91,0.263,0.385,0.533,0.918
2005,26,Cliff Floyd (2005),NYM,4,0,1%,4.7,150,550,85,150,34,98,12,63,0.273,0.358,0.505,0.863
2005,26,Marcus Giles (2005),ATL,4,0,1%,4,152,577,104,168,15,63,16,64,0.291,0.365,0.461,0.826
2005,30,Jose Reyes (2005),NYM,1,0,0%,1.6,161,696,99,190,7,58,60,27,0.273,0.300,0.386,0.687
2006,1,Ryan Howard (2006),PHI,388,20,87%,5.2,159,581,104,182,58,149,0,108,0.313,0.425,0.659,1.084
2006,2,Albert Pujols (2006),STL,347,12,77%,8.5,143,535,119,177,49,137,7,92,0.331,0.431,0.671,1.102
2006,3,Lance Berkman (2006),HOU,230,0,51%,6,152,536,95,169,45,136,3,98,0.315,0.42,0.621,1.041
2006,4,Carlos Beltran (2006),NYM,211,0,47%,8.2,140,510,127,140,41,116,18,95,0.275,0.388,0.594,0.982
2006,5,Miguel Cabrera (2006),FLA,170,0,38%,5.8,158,576,112,195,26,114,9,86,0.339,0.43,0.568,0.998
2006,6,Alfonso Soriano (2006),WSN,106,0,24%,6.1,159,647,119,179,46,95,41,67,0.277,0.351,0.56,0.911
2006,7,Jose Reyes (2006),NYM,98,0,22%,5.9,153,647,122,194,19,81,64,53,0.3,0.354,0.487,0.841
2006,7,Chase Utley (2006),PHI,98,0,22%,7.3,160,658,131,203,32,102,15,63,0.309,0.379,0.527,0.906
2006,9,David Wright (2006),NYM,70,0,16%,4.1,154,582,96,181,26,116,20,66,0.311,0.381,0.531,0.912
2006,11,Andruw Jones (2006),ATL,29,0,6%,5.6,156,565,107,148,41,129,4,82,0.262,0.363,0.531,0.894
2006,12,Carlos Delgado (2006),NYM,23,0,5%,2.7,144,524,89,139,38,114,0,74,0.265,0.361,0.548,0.909
2006,13,Nomar Garciaparra (2006),LAD,18,0,4%,2.5,122,469,82,142,20,93,3,42,0.303,0.367,0.505,0.872
2006,14,Rafael Furcal (2006),LAD,11,0,2%,4.4,159,654,113,196,15,63,37,73,0.3,0.369,0.445,0.814
2006,15,Garrett Atkins (2006),COL,10,0,2%,5,157,602,117,198,29,120,4,79,0.329,0.409,0.556,0.965
2006,15,Matt Holliday (2006),COL,10,0,2%,3.4,155,602,119,196,34,114,10,47,0.326,0.387,0.586,0.973
2006,17,Aramis Ramirez (2006),CHC,5,0,1%,3.5,157,594,93,173,38,119,2,50,0.291,0.352,0.561,0.912
2006,17,Freddy Sanchez (2006),PIT,5,0,1%,4.4,157,582,85,200,6,85,3,31,0.344,0.378,0.473,0.851
2006,20,Chipper Jones (2006),ATL,3,0,1%,3.6,110,411,87,133,26,86,6,61,0.324,0.409,0.596,1.005
2006,21,Mike Cameron (2006),SDP,2,0,0%,4.4,141,552,88,148,22,83,25,71,0.268,0.355,0.482,0.837
2006,21,Jimmy Rollins (2006),PHI,2,0,0%,4.6,158,689,127,191,25,83,36,57,0.277,0.334,0.478,0.811
2006,23,Jason Bay (2006),PIT,1,0,0%,4.3,159,570,101,163,35,109,11,102,0.286,0.396,0.532,0.928
2007,1,Jimmy Rollins (2007),PHI,353,16,79%,6.1,162,716,139,212,30,94,41,49,0.296,0.344,0.531,0.875
2007,2,Matt Holliday (2007),COL,336,11,75%,6,158,636,120,216,36,137,11,63,0.34,0.405,0.607,1.012
2007,3,Prince Fielder (2007),MIL,284,5,63%,3.6,158,573,109,165,50,119,2,90,0.288,0.395,0.618,1.013
2007,4,David Wright (2007),NYM,182,0,41%,8.3,160,604,113,196,30,107,34,94,0.325,0.416,0.546,0.963
2007,5,Ryan Howard (2007),PHI,112,0,25%,2.9,144,529,94,142,47,136,1,107,0.268,0.392,0.584,0.976
2007,6,Chipper Jones (2007),ATL,107,0,24%,7.6,134,513,108,173,29,102,5,82,0.337,0.425,0.604,1.029
2007,8,Chase Utley (2007),PHI,89,0,20%,7.8,132,530,104,176,22,103,9,50,0.332,0.41,0.566,0.976
2007,9,Albert Pujols (2007),STL,50,0,11%,8.7,158,565,99,185,32,103,2,99,0.327,0.429,0.568,0.997
2007,10,Hanley Ramirez (2007),FLA,49,0,11%,4.4,154,639,125,212,29,81,51,52,0.332,0.386,0.562,0.948
2007,11,Eric Byrnes (2007),ARI,43,0,10%,3.7,160,626,103,179,21,83,50,57,0.286,0.353,0.46,0.813
2007,12,Alfonso Soriano (2007),CHC,39,0,9%,4.3,135,579,97,173,33,70,19,31,0.299,0.337,0.56,0.897
2007,13,Aramis Ramirez (2007),CHC,36,0,8%,5.3,132,506,72,157,26,101,0,43,0.31,0.366,0.549,0.915
2007,15,Miguel Cabrera (2007),FLA,18,0,4%,3.2,157,588,91,188,34,119,2,79,0.32,0.401,0.565,0.965
2007,16,Jose Reyes (2007),NYM,16,0,4%,5.1,160,681,119,191,12,57,78,77,0.28,0.354,0.421,0.775
2007,18,Troy Tulowitzki (2007),COL,13,0,3%,6.8,155,609,104,177,24,99,7,57,0.291,0.359,0.479,0.838
2007,19,Carlos Lee (2007),HOU,7,0,2%,2.4,162,627,93,190,32,119,10,53,0.303,0.354,0.528,0.882
2007,20,Carlos Beltran (2007),NYM,6,0,1%,5.4,144,554,93,153,33,112,23,69,0.276,0.353,0.525,0.878
2007,20,Adrian Gonzalez (2007),SDP,6,0,1%,2.5,161,646,101,182,30,100,0,65,0.282,0.347,0.502,0.849
2007,22,Brandon Phillips (2007),CIN,3,0,1%,4,158,650,107,187,30,94,32,33,0.288,0.331,0.485,0.816
2007,22,Aaron Rowand (2007),PHI,3,0,1%,5.1,161,612,105,189,27,89,6,47,0.309,0.374,0.515,0.889
2007,24,Ryan Braun (2007),MIL,2,0,0%,2,113,451,91,146,34,97,15,29,0.324,0.37,0.634,1.004
2007,24,Brad Hawpe (2007),COL,2,0,0%,1.5,152,516,80,150,29,116,0,81,0.291,0.387,0.539,0.926
2008,1,Albert Pujols (2008),STL,369,18,82%,9.2,148,524,100,187,37,116,7,104,0.357,0.462,0.653,1.114
2008,2,Ryan Howard (2008),PHI,308,12,69%,1.8,162,610,105,153,48,146,1,81,0.251,0.339,0.543,0.881
2008,3,Ryan Braun (2008),MIL,139,0,31%,4.6,151,611,92,174,37,106,14,42,0.285,0.335,0.553,0.888
2008,4,Manny Ramirez (2008),LAD,138,0,31%,3.5,53,187,36,74,17,53,2,35,0.396,0.489,0.743,1.232
2008,5,Lance Berkman (2008),HOU,126,0,28%,6.9,159,554,114,173,29,106,18,99,0.312,0.42,0.567,0.986
2008,7,David Wright (2008),NYM,115,0,26%,6.9,160,626,115,189,33,124,15,94,0.302,0.39,0.534,0.924
2008,9,Carlos Delgado (2008),NYM,96,0,21%,1.3,159,598,96,162,38,115,1,72,0.271,0.353,0.518,0.871
2008,10,Aramis Ramirez (2008),CHC,66,0,15%,3,149,554,97,160,27,111,2,74,0.289,0.38,0.518,0.898
2008,11,Hanley Ramirez (2008),FLA,55,0,12%,6.7,153,589,125,177,33,67,35,92,0.301,0.4,0.54,0.94
2008,12,Chipper Jones (2008),ATL,44,0,10%,7.3,128,439,82,160,22,75,4,90,0.364,0.47,0.574,1.044
2008,13,Geovany Soto (2008),CHC,41,0,9%,3.3,141,494,66,141,23,86,0,62,0.285,0.364,0.504,0.868
2008,14,Chase Utley (2008),PHI,30,0,7%,9,159,607,113,177,33,104,14,64,0.292,0.38,0.535,0.915
2008,16,Ryan Ludwick (2008),STL,17,0,4%,5.5,152,538,104,161,37,113,4,62,0.299,0.375,0.591,0.966
2008,18,Adrian Gonzalez (2008),SDP,13,0,3%,3.6,162,616,103,172,36,119,0,74,0.279,0.361,0.51,0.871
